2022-06-05 17:38:57,203 ERROR      client некорректный адрес сервера - переход к дефолтным значениям
2022-06-05 17:38:57,203 INFO       server нормальное сообщение от клиента
2022-06-05 17:39:04,040 ERROR      client некорректный адрес сервера - переход к дефолтным значениям
2022-06-05 17:39:04,040 ERROR      server ошибочное сообщение от клиента
2022-06-19 08:38:22,283 ERROR      client некорректный адрес сервера - переход к дефолтным значениям
2022-06-19 08:39:42,923 ERROR      client некорректный адрес сервера - переход к дефолтным значениям
2022-06-19 08:39:42,924 ERROR      server ошибочное сообщение от клиента
2022-06-19 08:41:34,779 ERROR      client некорректный адрес сервера - переход к дефолтным значениям
2022-06-19 08:41:34,780 ERROR      server ошибочное сообщение от клиента
2022-06-19 08:42:49,381 ERROR      client некорректный адрес сервера - переход к дефолтным значениям
2022-06-19 08:42:49,381 ERROR      server ошибочное сообщение от клиента
2022-06-19 08:43:11,250 ERROR      client некорректный адрес сервера - переход к дефолтным значениям
2022-06-19 08:43:11,250 ERROR      server ошибочное сообщение от клиента
2022-06-19 08:43:31,315 ERROR      client некорректный адрес сервера - переход к дефолтным значениям
2022-06-19 08:43:31,315 ERROR      server ошибочное сообщение от клиента
2022-06-19 08:45:26,532 ERROR      client некорректный адрес сервера - переход к дефолтным значениям
2022-06-19 08:45:26,533 ERROR      server ошибочное сообщение от клиента
2022-06-19 08:52:53,355 ERROR      client некорректный адрес сервера - переход к дефолтным значениям
2022-06-19 08:52:53,355 ERROR      server ошибочное сообщение от клиента
2022-06-19 08:53:27,609 ERROR      client некорректный адрес сервера - переход к дефолтным значениям
2022-06-19 08:53:27,609 ERROR      server ошибочное сообщение от клиента
2022-06-19 08:55:46,261 ERROR      client некорректный адрес сервера - переход к дефолтным значениям
2022-06-19 08:55:46,261 ERROR      server ошибочное сообщение от клиента
2022-06-19 08:58:30,966 ERROR      server ошибочное сообщение от клиента
2022-06-19 09:21:43,187 INFO       server нормальное сообщение от клиента
2022-06-19 09:23:25,933 INFO       server нормальное сообщение от клиента
2022-06-19 09:24:49,657 INFO       server нормальное сообщение от клиента
2022-06-19 09:25:32,548 INFO       decors сообщение
2022-06-19 09:25:32,548 INFO       server нормальное сообщение от клиента
2022-06-19 09:25:39,901 INFO       decors сообщение
2022-06-19 09:25:39,902 INFO       server нормальное сообщение от клиента
2022-06-19 09:28:55,224 INFO       decors Была вызвана функция create_presence c параметрами (), {}. 
2022-06-19 09:28:55,224 INFO       server нормальное сообщение от клиента
2022-06-19 09:29:54,870 INFO       decors Была вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-19 09:29:54,871 INFO       server нормальное сообщение от клиента
2022-06-19 09:31:06,876 INFO       decors Была вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-19 09:31:06,879 INFO       decors Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1655620266.8763814, 'user': {'account_name': 'Guest'}},), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-19 09:31:06,879 INFO       server нормальное сообщение от клиента
2022-06-19 09:34:34,493 INFO       decors Была вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
